Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,Brand,isFIFA,isSuperMario,isGTA,isPokemon,isCOD,isNFS,FIFASales,MarioSales,GTASales,PokeSales,CODSales,NFSSales,NA_Mil_Sales,EU_Mil_Sales,JP_Mil_Sales,Other_Mil_Sales,Global_Mil_Sales,Genre_Filtered,NOT_NA_MIL
36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,8.25,4.3,0.07,1.12,13.73,10s,Call of Duty,0,0,0,0,1,0,0,0,0,0,13.73,0,8250000,4300000,70000,1120000,13730000,Shooter,5480000
37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,8.52,3.63,0.08,1.29,13.51,00s,Call of Duty,0,0,0,0,1,0,0,0,0,0,13.51,0,8520000,3630000,80000,1290000,13510000,Shooter,4990000
38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,5.54,5.82,0.49,1.62,13.46,10s,Call of Duty,0,0,0,0,1,0,0,0,0,0,13.46,0,5540000,5820000,490000,1620000,13460000,Shooter,7920000
39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,00s,GTA,0,0,1,0,0,0,0,0,13.1,0,0,0,6990000,4510000,300000,1300000,13100000,Action,6110000
40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,6750000,2610000,2660000,1020000,13040000,Other,6290000
41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,5.98,4.44,0.48,1.83,12.73,10s,Call of Duty,0,0,0,0,1,0,0,0,0,0,12.73,0,5980000,4440000,480000,1830000,12730000,Shooter,6750000
42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,2550000,3520000,5330000,880000,12270000,Other,9720000
43,Mario Kart 7,3DS,2011,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,4740000,3910000,2670000,890000,12210000,Racing,7470000
44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,7970000,2830000,130000,1210000,12140000,Shooter,4170000
45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,3.8,5.81,0.36,2.02,11.98,10s,GTA,0,0,1,0,0,0,0,0,11.98,0,0,0,3800000,5810000,360000,2020000,11980000,Action,8180000
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,00s,Pokemon,0,0,0,1,0,0,0,0,0,11.9,0,0,4400000,2770000,3960000,770000,11900000,Action,7500000
47,Super Mario 64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,90s,Super Mario,0,1,0,0,0,0,0,11.89,0,0,0,0,6910000,2850000,1910000,230000,11890000,Platfrom,4980000
48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3010000,10000,1100000,7530000,11660000,Racing,8650000
49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,00s,Super Mario,0,1,0,0,0,0,0,11.52,0,0,0,0,6160000,3400000,1200000,760000,11520000,Platfrom,5360000
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,10s,Pokemon,0,0,0,1,0,0,0,0,0,11.33,0,0,4230000,3370000,3080000,650000,11330000,Role-Playing,7100000
51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,90s,Super Mario,0,1,0,0,0,0,0,11.18,0,0,0,0,6160000,2040000,2690000,290000,11180000,Other,5020000
52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,6.76,3.1,0.14,1.03,11.02,00s,GTA,0,0,1,0,0,0,0,0,11.02,0,0,0,6760000,3100000,140000,1030000,11020000,Action,4260000
53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,4020000,3870000,2540000,520000,10950000,Racing,6930000
54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,10s,Super Mario,0,1,0,0,0,0,0,10.79,0,0,0,0,4890000,2990000,2130000,780000,10790000,Platfrom,5900000
55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,2960000,4880000,810000,2120000,10770000,Racing,7810000
56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,4.99,3.69,0.38,1.63,10.69,00s,Call of Duty,0,0,0,0,1,0,0,0,0,0,10.69,0,4990000,3690000,380000,1630000,10690000,Shooter,5700000
57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.76,3.76,0.44,1.62,10.57,00s,GTA,0,0,1,0,0,0,0,0,10.57,0,0,0,4760000,3760000,440000,1620000,10570000,Action,5810000
58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,90s,Super Mario,0,1,0,0,0,0,0,10.55,0,0,0,0,5990000,2150000,2120000,290000,10550000,Platfrom,4560000
59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,00s,Pokemon,0,0,0,1,0,0,0,0,0,10.49,0,0,4340000,2650000,3150000,350000,10490000,Role-Playing,6150000
60,Super Mario 64,DS,2004,Platform,Nintendo,5.08,3.11,1.25,0.98,10.42,00s,Super Mario,0,1,0,0,0,0,0,10.42,0,0,0,0,5080000,3110000,1250000,980000,10420000,Platfrom,5340000
61,Just Dance 3,Wii,2011,Misc,Ubisoft,6.05,3.15,0,1.07,10.26,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,6050000,3150000,5855,1070000,10260000,Other,4210000
62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,6.72,2.63,0.04,0.82,10.21,10s,Call of Duty,0,0,0,0,1,0,0,0,0,0,10.21,0,6720000,2630000,40000,820000,10210000,Shooter,3490000
63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,7030000,1980000,80000,780000,9880000,Shooter,2850000
64,Mario Kart 64,N64,1996,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,5550000,1940000,2230000,150000,9870000,Racing,4320000
65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,10s,Super Mario,0,1,0,0,0,0,0,9.82,0,0,0,0,3660000,3070000,2470000,630000,9820000,Platfrom,6160000
66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,6630000,2360000,40000,730000,9760000,Shooter,3130000
67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3010000,2470000,3280000,960000,9720000,Role-Playing,6710000
68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,4.09,3.73,0.38,1.38,9.59,10s,Call of Duty,0,0,0,0,1,0,0,0,0,0,9.59,0,4090000,3730000,380000,1380000,9590000,Shooter,5500000
69,Just Dance 2,Wii,2010,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,5840000,2890000,10000,780000,9520000,Other,3680000
70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3880000,3420000,1690000,500000,9490000,Racing,5610000
71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.91,2.38,0.13,0.9,9.32,00s,Call of Duty,0,0,0,0,1,0,0,0,0,0,9.32,0,5910000,2380000,130000,900000,9320000,Shooter,3410000
72,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3,0.23,9.3,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,4360000,1710000,3000000,230000,9300000,Platfrom,4940000
73,Minecraft,X360,2013,Misc,Microsoft Game Studios,5.58,2.83,0.02,0.77,9.2,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,5580000,2830000,20000,770000,9200000,Other,3620000
74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,2010000,2320000,4360000,410000,9090000,Other,7080000
75,Mario Party DS,DS,2007,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,4460000,1880000,1980000,700000,9020000,Other,4560000
76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.03,2.86,0.1,0.85,8.84,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,5030000,2860000,100000,850000,8840000,Role-Playing,3810000
77,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,90s,Super Mario,0,1,0,0,0,0,0,8.76,0,0,0,0,3540000,1240000,3810000,180000,8760000,Racing,5220000
78,FIFA 16,PS4,2015,Sports,Electronic Arts,1.11,6.06,0.06,1.26,8.49,10s,FIFA,1,0,0,0,0,0,8.49,0,0,0,0,0,1110000,6060000,60000,1260000,8490000,Sports,7380000
79,Wii Party,Wii,2010,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,1790000,3530000,2490000,680000,8490000,Other,6700000
80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,6820000,1530000,50000,80000,8490000,Shooter,1670000
81,Mario Party 8,Wii,2007,Misc,Nintendo,3.81,2.3,1.58,0.73,8.42,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3810000,2300000,1580000,730000,8420000,Other,4610000
82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2.91,1.86,3.14,0.43,8.33,10s,Pokemon,0,0,0,1,0,0,0,0,0,8.33,0,0,2910000,1860000,3140000,430000,8330000,Role-Playing,5420000
83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,1.06,5.05,0.13,2.01,8.24,10s,FIFA,1,0,0,0,0,0,8.24,0,0,0,0,0,1060000,5050000,130000,2010000,8240000,Action,7180000
84,The Sims 3,PC,2009,Simulation,Electronic Arts,0.98,6.42,0,0.71,8.11,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,980000,6420000,7820,710000,8110000,Other,7130000
85,GoldenEye 007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,5800000,2010000,130000,150000,8090000,Shooter,2290000
86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.58,3.9,0.66,0.91,8.06,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,2580000,3900000,660000,910000,8060000,Sports,5480000
87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,2910000,2070000,2730000,330000,8050000,Role-Playing,5140000
88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,2280000,1720000,3630000,230000,7860000,Role-Playing,5580000
89,Pokemon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,1.78,2.69,0.55,7.84,00s,Pokemon,0,0,0,1,0,0,0,0,0,7.84,0,0,2820000,1780000,2690000,550000,7840000,Role-Playing,5020000
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,2.83,0.24,1.75,7.72,00s,GTA,0,0,1,0,0,0,0,0,7.72,0,0,0,2900000,2830000,240000,1750000,7720000,Action,4820000
92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,2.42,0.98,0.64,7.69,10s,Super Mario,0,1,0,0,0,0,0,7.69,0,0,0,0,3660000,2420000,980000,640000,7690000,Platfrom,4030000
93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,3.29,0.22,1.23,7.67,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,2930000,3290000,220000,1230000,7670000,Shooter,4740000
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,3.3,0.14,1.37,7.6,10s,Call of Duty,0,0,0,0,1,0,0,0,0,0,7.6,0,2800000,3300000,140000,1370000,7600000,Shooter,4800000
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,4100000,1890000,1450000,160000,7600000,Action,3500000
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3780000,2170000,1310000,310000,7580000,Platfrom,3800000
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,1.35,2.42,0.43,7.45,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3240000,1350000,2420000,430000,7450000,Other,4210000
99,Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,1.9,0,0.69,7.37,00s,Call of Duty,0,0,0,0,1,0,0,0,0,0,7.37,0,4790000,1900000,171,690000,7370000,Shooter,2580000
100,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,2.13,0.06,0.69,7.34,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,4460000,2130000,60000,690000,7340000,Shooter,2880000
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,2.19,0.6,0.7,7.31,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3830000,2190000,600000,700000,7310000,Action,3480000
102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.52,2.09,0.01,0.67,7.3,10s,Call of Duty,0,0,0,0,1,0,0,0,0,0,7.3,0,4520000,2090000,10000,670000,7300000,Shooter,2780000
103,Just Dance,Wii,2009,Misc,Ubisoft,3.51,3.03,0,0.73,7.27,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3510000,3030000,8086,730000,7270000,Other,3760000
104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,2.93,0.35,1.1,7.23,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,2850000,2930000,350000,1100000,7230000,Shooter,4380000
105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.2,00s,Need for Speed,0,0,0,0,0,1,0,0,0,0,0,7.2,3270000,2830000,80000,1020000,7200000,Racing,3930000
106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3270000,2220000,1400000,290000,7160000,Other,3890000
107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3680000,1750000,1420000,280000,7130000,Platfrom,3450000
108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,4410000,1040000,1390000,220000,7070000,Other,2660000
109,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,2.07,1.27,0.49,6.96,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3130000,2070000,1270000,490000,6960000,Racing,3830000
110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,3.15,0.24,1.1,6.96,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,2470000,3150000,240000,1100000,6960000,Role-Playing,4490000
111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,4120000,1770000,870000,190000,6950000,Racing,2830000
112,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,2.21,0,0.56,6.91,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,4140000,2210000,5386,560000,6910000,Other,2770000
113,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,4.32,0.07,1.73,6.9,10s,FIFA,1,0,0,0,0,0,6.9,0,0,0,0,0,780000,4320000,70000,1730000,6900000,Sports,6120000
114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.9,00s,Need for Speed,0,0,0,0,0,1,0,0,0,0,0,6.9,2710000,3020000,80000,1090000,6900000,Racing,4190000
115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,2930000,2750000,170000,990000,6830000,Shooter,3900000
116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.8,0.19,1.06,6.83,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,2770000,2800000,190000,1060000,6830000,Action,4060000
117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.3,6.82,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3230000,2350000,940000,300000,6820000,Platfrom,3590000
118,Zumba Fitness,Wii,2010,Sports,505 Games,3.5,2.64,0,0.67,6.81,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3500000,2640000,7658,670000,6810000,Sports,3310000
119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,1.92,0.06,0.64,6.76,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,4150000,1920000,60000,640000,6760000,Shooter,2610000
120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.25,0.21,1,6.73,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3270000,2250000,210000,1000000,6730000,Action,3460000
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,2.3,0.28,1.04,6.72,00s,Call of Duty,0,0,0,0,1,0,0,0,0,0,6.72,0,3100000,2300000,280000,1040000,6720000,Shooter,3620000
122,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,4.32,0.11,1.42,6.69,10s,FIFA,1,0,0,0,0,0,6.69,0,0,0,0,0,840000,4320000,110000,1420000,6690000,Sports,5850000
123,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,2.78,1.6,0.62,6.67,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,1670000,2780000,1600000,620000,6670000,Other,5000000
124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.61,0.17,1.03,6.6,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,2790000,2610000,170000,1030000,6600000,Action,3810000
125,FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,4.29,0.05,1.47,6.59,10s,FIFA,1,0,0,0,0,0,6.59,0,0,0,0,0,790000,4290000,50000,1470000,6590000,Sports,5800000
126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,1.84,1.03,0.47,6.59,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3250000,1840000,1030000,470000,6590000,Platfrom,3340000
